ds,return_pct,IQR,STL_IQR,ModZscore,methods_count
2018-06-15,-0.10171027155291279,0,0,0,0
2018-06-18,-0.21261277624751163,0,0,0,0
2018-06-19,-0.4023402292699374,0,0,0,0
2018-06-20,0.17121542893689945,0,0,0,0
2018-06-21,-0.6345510515579966,0,0,0,0
2018-06-22,0.18619345065358228,0,0,0,0
2018-06-25,-1.3724668973416176,0,0,0,0
2018-06-26,0.22045770199778936,0,0,0,0
2018-06-27,-0.8604355128821406,0,0,0,0
2018-06-28,0.617868985946779,0,0,0,0
2018-06-29,0.07584033300001014,0,0,0,0
2018-07-02,0.3067957412152822,0,0,0,0
2018-07-03,-0.49473506268106204,0,0,0,0
2018-07-05,0.8620803683929923,0,0,0,0
2018-07-06,0.8481281595267509,0,0,0,0
2018-07-09,0.8822985887663393,0,0,0,0
2018-07-10,0.3473267180873929,0,0,0,0
2018-07-11,-0.7094202866256172,0,0,0,0
2018-07-12,0.8749042674663476,0,0,0,0
2018-07-13,0.10792374947172778,0,0,0,0
2018-07-16,-0.1028135726814483,0,0,0,0
2018-07-17,0.39736986307106203,0,0,0,0
2018-07-18,0.21605126279586884,0,0,0,0
2018-07-19,-0.39529931204791424,0,0,0,0
2018-07-20,-0.09484477101494582,0,0,0,0
2018-07-23,0.18380494891383492,0,0,0,0
2018-07-24,0.4780911145920941,0,0,0,0
2018-07-25,0.9101605057599604,0,0,0,0
2018-07-26,-0.30322960242857855,0,0,0,0
2018-07-27,-0.656220869212365,0,0,0,0
2018-07-30,-0.5754170294581917,0,0,0,0
2018-07-31,0.4884728797982518,0,0,0,0
2018-08-01,-0.10403515262938923,0,0,0,0
2018-08-02,0.4926444803381669,0,0,0,0
2018-08-03,0.4644183009877123,0,0,0,0
2018-08-06,0.3538227451535869,0,0,0,0
2018-08-07,0.28241822564987196,0,0,0,0
2018-08-08,-0.02623799656497061,0,0,0,0
2018-08-09,-0.14416744645237012,0,0,0,0
2018-08-10,-0.7113887913551609,0,0,0,0
2018-08-13,-0.40059921853423663,0,0,0,0
2018-08-14,0.6389254777276809,0,0,0,0
2018-08-15,-0.7602164835758152,0,0,0,0
2018-08-16,0.7919408484583057,0,0,0,0
2018-08-17,0.33231157222237684,0,0,0,0
2018-08-20,0.24280177746833775,0,0,0,0
2018-08-21,0.20685364303643095,0,0,0,0
2018-08-22,-0.03981517707819515,0,0,0,0
2018-08-23,-0.16912621251551352,0,0,0,0
2018-08-24,0.6198839704363079,0,0,0,0
2018-08-27,0.7670409427647185,0,0,0,0
2018-08-28,0.026927832649970007,0,0,0,0
2018-08-29,0.5701434129840033,0,0,0,0
2018-08-30,-0.4430329054144866,0,0,0,0
2018-08-31,0.013447750859452157,0,0,0,0
2018-09-04,-0.16543221469484948,0,0,0,0
2018-09-05,-0.2803126684318036,0,0,0,0
2018-09-06,-0.36523050860121087,0,0,0,0
2018-09-07,-0.2213344827027508,0,0,0,0
2018-09-10,0.18978268127400888,0,0,0,0
2018-09-11,0.3739841510076891,0,0,0,0
2018-09-12,0.03566719422101183,0,0,0,0
2018-09-13,0.5282254329749936,0,0,0,0
2018-09-14,0.027548183892078804,0,0,0,0
2018-09-17,-0.5569722252617426,0,0,0,0
2018-09-18,0.5369014643958003,0,0,0,0
2018-09-19,0.12532727238796504,0,0,0,0
2018-09-20,0.7840591898404803,0,0,0,0
2018-09-21,-0.03685330120276609,0,0,0,0
2018-09-24,-0.35156877607932513,0,0,0,0
2018-09-25,-0.13050961134796202,0,0,0,0
2018-09-26,-0.3289278113945082,0,0,0,0
2018-09-27,0.27632870875580196,0,0,0,0
2018-09-28,-0.0006870120538793323,0,0,0,0
2018-10-01,0.3641105118425747,0,0,0,0
2018-10-02,-0.03966902079042267,0,0,0,0
2018-10-03,0.07115197468861023,0,0,0,0
2018-10-04,-0.8169482334351885,0,0,0,0
2018-10-05,-0.5527978766503461,0,0,0,0
2018-10-08,-0.03951166292067709,0,0,0,0
2018-10-09,-0.14179036575431292,0,0,0,0
2018-10-10,-3.28642290012785,0,0,1,1
2018-10-11,-2.057300761734404,0,0,0,0
2018-10-12,1.4206197825152422,0,0,0,0
